/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroMesa;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroLideranca;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/NumeroTelefone;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/OrdemPublicacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/IndicadorFax;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/CodigoMandato;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/CodigoExercicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataLeitura
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;"33033131";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;"33033132";"2";"Não";;;;;;;;;;;;;;;;;;;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"PDT";"RO";"Não";"Não";;;;"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"1º Suplente";"5615";"Gilberto Piselo";;;;;;;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"PDT";"RO";"Não";"Não";;;;"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"2º Suplente";"5617";"Pastor Valadares";;;;;;;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"PDT";"RO";"Não";"Não";;;;"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2810";"2017-01-14";;;;;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"PDT";"RO";"Não";"Não";;;;"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2754";"2015-02-01";"2016-09-08";"LSP";"Licença Saúde-Particular";;;;
"4981";"916";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"PDT";"RO";"Não";"Não";;;;"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";;;;;"33039011";"1";"Não";;;;;;;;;;;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";;;;;"33039014";"2";"Não";;;;;;;;;;;;;;;;;;;;;
"5982";"829";"Alessandro Vieira";"Alessandro Vieira";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982";;"sen.alessandrovieira@senado.leg.br";;;;;"33039019";"3";"Não";;;;;;;;;;;;;;;;;;;;;
